# app-ads.txt for Beijing Bingtangxin Trading Co., Ltd.
# This file helps prevent unauthorized monetization of your mobile applications
# Last Updated: December 15, 2024

# Google AdMob
google.com, pub-XXXXXXXXXXXXXXXX, DIRECT, f08c47fec0942fa0

# Unity Ads
unity3d.com, XXXXXXXX, DIRECT, XXXXXXXX

# Facebook Audience Network
facebook.com, XXXXXXXX, DIRECT, XXXXXXXX

# AppLovin MAX
applovin.com, XXXXXXXX, DIRECT, XXXXXXXX

# IronSource
ironsrc.com, XXXXXXXX, DIRECT, XXXXXXXX

# Pangle (ByteDance)
pangle.io, XXXXXXXX, DIRECT, XXXXXXXX

# AdColony
adcolony.com, XXXXXXXX, DIRECT, XXXXXXXX

# Chartboost
chartboost.com, XXXXXXXX, DIRECT, XXXXXXXX

# Mintegral
mintegral.com, XXXXXXXX, DIRECT, XXXXXXXX

# Vungle
vungle.com, XXXXXXXX, DIRECT, XXXXXXXX

# InMobi
inmobi.com, XXXXXXXX, DIRECT, XXXXXXXX

# Note: Replace XXXXXXXX with your actual publisher IDs
# Contact support@bjbingtang.com for assistance
